Image_Metadata_Plate,Image_Metadata_Well,Image_FileName_OrigHoechst,Image_Count_Nuclei,Image_Metadata_GeneID,Image_Metadata_GeneSymbol,Image_Metadata_IsLandmark,Image_Metadata_AlleleDesc,Image_Metadata_ExpressionVector,Image_Metadata_FlaggedForToxicity,Image_Metadata_IE_Blast_noBlast,Image_Metadata_IntendedOrfMismatch,Image_Metadata_OpenOrClosed,Image_Metadata_RNAiVirusPlateName,Image_Metadata_Site,Image_Metadata_TimePoint_Hours,Image_Metadata_Type,Image_Metadata_Virus_Vol_ul,Image_Metadata_ASSAY_WELL_ROLE,Image_Metadata_QCFlag_isBlurry,Image_Metadata_QCFlag_isSaturated
41744,k21,taoe005-u2os-72h-cp-a-au00044859_k21_s7_w10efe595e-e9f1-4dfa-a301-4d8a19b91d40.tif,60,1977,EIF4E,0,WT.2,pLX304,,0.91,,open,ORA11.12.13.18A,7,72H,"ORF OE",1,Treated,0,0
41744,i13,taoe005-u2os-72h-cp-a-au00044859_i13_s4_w13be2d93d-4e04-4527-ba7c-4864ca27cfb1.tif,69,22943,DKK1,0,WT,pLX304,,1.15,,open,ORA11.12.13.18A,4,72H,"ORF OE",1,Treated,0,0
41744,j16,taoe005-u2os-72h-cp-a-au00044859_j16_s9_w1b03efd40-1f4c-44bd-8839-64b2986ee5dc.tif,48,22926,ATF6,1,WT.1,pLX304,,0.96,,open,ORA11.12.13.18A,9,72H,"ORF OE",1,Treated,0,0
41744,m07,taoe005-u2os-72h-cp-a-au00044859_m07_s5_w1226d78cd-7c89-45ef-a576-6b062c73477b.tif,57,5045,FURIN,0,WT.2,pLX304,,0.87,,open,ORA11.12.13.18A,5,72H,"ORF OE",1,Treated,0,0
41744,i04,taoe005-u2os-72h-cp-a-au00044859_i04_s5_w1f731236e-632e-4345-bc3a-f449abbfdaf7.tif,51,5599,MAPK8,0,WT.2,pLX304,,1.04,,open,ORA11.12.13.18A,5,72H,"ORF OE",1,Treated,0,0
41744,l02,taoe005-u2os-72h-cp-a-au00044859_l02_s2_w1aad1482e-f8e6-4e47-ad0a-f41cef0662cb.tif,43,84433,CARD11,0,WT,pLX304,,0.9,,open,ORA11.12.13.18A,2,72H,"ORF OE",1,Treated,0,0
41744,j04,taoe005-u2os-72h-cp-a-au00044859_j04_s4_w1753108f6-de03-42b8-b28e-38bd888f9113.tif,110,55054,ATG16L1,0,WT,pLX304,,1.24,,open,ORA11.12.13.18A,4,72H,"ORF OE",1,Treated,0,0
41744,l03,taoe005-u2os-72h-cp-a-au00044859_l03_s8_w107271ae7-d4f1-4a19-9522-d737eb85dd6d.tif,78,7248,TSC1,0,WT.2,pLX304,,0.07,,,ORA11.12.13.18A,8,72H,"ORF OE",1,Treated,0,0
41744,j22,taoe005-u2os-72h-cp-a-au00044859_j22_s5_w1ece2d048-25e0-4c7d-8f32-19d3e64e9217.tif,66,5058,PAK1,1,WT.2,pLX304,,0.13,,,ORA11.12.13.18A,5,72H,"ORF OE",1,Treated,0,0
41744,k24,taoe005-u2os-72h-cp-a-au00044859_k24_s5_w19e552bc2-a7e8-4439-bab5-41f910e35c4c.tif,26,7494,XBP1,1,WT.3,pLX304,PotentiallyToxic,1.14,,closed,ORA11.12.13.18A,5,72H,"ORF OE",1,Treated,0,0
41744,m13,taoe005-u2os-72h-cp-a-au00044859_m13_s6_w16875ca15-d2d3-45d7-943c-1ae2510614de.tif,89,5562,PRKAA1,0,WT.2,pLX304,,0.93,,open,ORA11.12.13.18A,6,72H,"ORF OE",1,Treated,0,0
41744,m10,taoe005-u2os-72h-cp-a-au00044859_m10_s3_w18324106c-e005-4dcd-8be8-21b7f5afc739.tif,90,4293,MAP3K9,0,WT,pLX304,,1,,closed,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,k10,taoe005-u2os-72h-cp-a-au00044859_k10_s7_w1802fb289-841e-433d-b78a-6afd5af69ed6.tif,68,9641,IKBKE,1,WT.2,pLX304,,1.12,,open,ORA11.12.13.18A,7,72H,"ORF OE",1,Treated,0,0
41744,m20,taoe005-u2os-72h-cp-a-au00044859_m20_s8_w1f3819491-e7ce-486d-a7e7-c66a0b572986.tif,13,7046,TGFBR1,0,WT.3,pLX304,,0.99,,open,ORA11.12.13.18A,8,72H,"ORF OE",1,Treated,0,0
41744,k22,taoe005-u2os-72h-cp-a-au00044859_k22_s8_w1ae1b975e-f336-4c7a-890b-9f2f547e5e65.tif,50,7494,XBP1,1,WT.2,pLX304,,1.03,,closed,ORA11.12.13.18A,8,72H,"ORF OE",1,Treated,0,0
41744,k06,taoe005-u2os-72h-cp-a-au00044859_k06_s3_w1d4221c34-fce3-4247-a486-9bdff1f953b0.tif,70,8737,RIPK1,0,WT,pLX304,,0.1,,,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,l03,taoe005-u2os-72h-cp-a-au00044859_l03_s3_w11c2ee8e9-26dd-4ed3-bdaa-2b4609e97bc9.tif,185,7248,TSC1,0,WT.2,pLX304,,0.07,,,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,l04,taoe005-u2os-72h-cp-a-au00044859_l04_s9_w1e5dbc937-07ba-43e0-80c1-f9de6155c179.tif,73,,EMPTY,,,,,0.06,,,ORA11.12.13.18A,9,72H,"ORF OE",1,Untreated,0,0
41744,k01,taoe005-u2os-72h-cp-a-au00044859_k01_s3_w19919ebb5-a825-4331-802b-5a1d58869f70.tif,73,55851,PSENEN,0,WT,pLX304,,1.18,,,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,l11,taoe005-u2os-72h-cp-a-au00044859_l11_s6_w123a52669-c05b-41e0-9efe-55ea44029b8d.tif,44,673,BRAF,0,WT.1,pLX304,,1.01,,open,ORA11.12.13.18A,6,72H,"ORF OE",1,Treated,0,0
41744,m24,taoe005-u2os-72h-cp-a-au00044859_m24_s2_w19fb105ae-b0a1-44fe-9794-8a52de28cec0.tif,42,1855,DVL1,0,WT.2,pLX304,,1.28,,closed,ORA11.12.13.18A,2,72H,"ORF OE",1,Treated,0,0
41744,j14,taoe005-u2os-72h-cp-a-au00044859_j14_s3_w18f1516db-3414-4ead-9c8e-b2656d394979.tif,78,5187,PER1,0,WT.1,pLX304,,1.04,,open,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,j13,taoe005-u2os-72h-cp-a-au00044859_j13_s7_w10f00cb6e-0da7-4285-8bdb-2bc8676f9122.tif,84,,EMPTY,,,,,0.1,,,ORA11.12.13.18A,7,72H,"ORF OE",1,Untreated,0,0
41744,j21,taoe005-u2os-72h-cp-a-au00044859_j21_s9_w17163e041-5515-41b1-a188-6b7c777c43df.tif,131,54583,EGLN1,0,WT.2,pLX304,,1.12,,closed,ORA11.12.13.18A,9,72H,"ORF OE",1,Treated,0,0
