,gene,cluster
0,PTN,5
1,KLK6,0
2,AURKB,6
3,TRAF2,3
4,TNNC1,1
5,KRT80,0
6,SDC1,5
7,SPC24,6
8,MCM3,7
9,TUBB,2
10,FHL2,3
11,MAGED1,2
12,TNNT2,1
13,CDC20,6
14,COL5A1,0
15,NUF2,6
16,PLAT,0
17,TINAGL1,4
18,APPBP2,0
19,C1QL1,1
20,CNN1,2
21,GSK3B,1
22,IRF7,3
23,CEP192,6
24,BUB1,6
25,VIM,2
26,INHBA,0
27,SMAD4,3
28,HRAS,2
29,HSPG2,0
30,AURKA,6
31,CENPA,6
32,ATXN7,0
33,TRIB3,1
34,COL4A1,0
35,MYH9,0
36,PCOLCE,0
37,BMP4,0
38,CYBA,4
39,THBS1,0
40,ELK1,7
41,ARMCX2,0
42,CDC6,7
43,RUNX1,3
44,MAPK7,1
45,BUB1B,6
46,NEK2,6
47,NEFL,0
48,UCHL5,0
49,FGF1,0
50,SFN,2
51,FOXO1,3
52,NCAM1,2
53,YWHAQ,2
54,FBN2,0
55,GTSE1,6
56,ERG,5
57,CDCA3,3
58,UBE2C,1
59,TP73,7
60,SPC25,6
61,EEF1A2,5
62,MDK,0
63,CCND2,7
64,KRT15,2
65,PRKCE,2
66,BEX1,4
67,HJURP,6
68,DSP,0
69,TCF4,5
70,HK2,2
71,NDN,7
72,MSH2,7
73,CKS2,6
74,GABRB3,1
75,SMO,3
76,E2F1,7
77,THRA,3
78,PDGFRB,0
79,ATF4,1
80,S100A14,0
81,EPB41L3,2
82,PRSS23,1
83,PARP2,4
84,PRKCA,1
85,TUBB2B,7
86,MCM10,7
87,FN1,0
88,CDC42,2
89,NCF2,4
90,RHOA,3
91,MDC1,1
92,RPS6KB1,4
93,SDC3,5
94,VCAN,0
95,PLK1,6
96,MKI67,6
97,TPM2,2
98,HSPA1B,3
99,FOXM1,7
100,LBH,5
101,KIF23,6
102,NOTCH3,1
103,GNAQ,1
104,CENPE,6
105,KIF2C,6
106,MAP2K3,1
107,KRT8,2
108,TENM3,3
109,MAPK8,5
110,TNC,0
111,PRC1,6
112,MYC,7
113,LAMA1,0
114,PLCG1,0
115,RRM2,6
116,CDK14,2
117,CDK1,6
118,TLR4,3
119,TIMP1,0
120,GIT1,1
121,HAPLN1,0
122,FBLN1,0
123,KRT18,2
124,SPARC,0
125,MBP,1
126,IRAK4,1
127,CCNE1,7
128,BRAF,2
129,CREB1,1
130,NDC80,6
131,TSC2,3
132,NCOR2,3
133,HSPB1,2
134,CLU,1
135,WWTR1,3
136,TUBB6,2
137,MCM7,7
138,FSTL1,0
139,CCNB2,6
140,AKT1S1,0
141,AMPH,4
142,CLSPN,6
143,LDOC1,5
144,FKBP4,2
145,PCNA,7
146,CDK6,7
147,PIK3R2,0
148,BCL2L11,4
149,CRYAB,5
150,SRC,0
151,WEE1,6
152,YES1,4
153,BIRC5,6
154,IGF2,0
155,DNMT3B,4
156,TNNT1,2
157,MYBL2,7
158,DHRS2,0
159,KPNA2,2
160,TGFB1,0
161,STC2,5
162,CDC42EP1,2
163,SREBF1,3
164,RARA,3
165,BAX,1
166,TTK,2
167,TK1,2
168,PCLO,1
169,MAGEA12,2
170,FGFR3,0
171,CDK2,7
172,RELB,1
173,PRAME,3
174,AXL,0
175,COL4A2,0
176,CCNF,6
177,TPX2,6
178,DUSP6,4
179,TPM1,2
180,MAP3K5,2
181,ACAN,0
182,DIABLO,3
183,MAGEA11,4
184,KIF15,6
185,MAP3K9,2
186,CD40,3
187,LTBP2,0
188,MCM4,7
189,FEN1,7
190,MYL2,2
191,TUBA1A,2
192,CEBPA,5
193,CDC45,7
194,RACGAP1,6
195,FOS,5
196,HSP90AB1,2
197,GLI2,1
198,MAP3K2,2
199,STAC,4
200,JUN,5
201,SUV39H1,4
202,KRT81,0
203,AQP1,5
204,MMP2,0
205,TGM2,0
206,RAF1,2
207,MYD88,3
208,MAGEA1,2
209,EFEMP1,0
210,LOXL4,4
211,PRKACA,1
212,COL1A1,0
213,IGFBP5,0
214,KIF4A,4
215,ALOX5,4
216,PLCB2,1
217,TONSL,7
218,NCAPH,6
219,UBE2S,6
220,CRMP1,2
221,FBN1,0
222,LRP1,0
223,SKP2,7
224,PAK2,2
225,S100A2,5
226,MDFI,4
227,SDC2,5
228,FGFR2,0
229,CDCA2,6
230,CDKN1A,7
231,THY1,0
232,CCNA2,7
233,MAGEA6,0
234,GLI1,4
235,LGALS1,2
236,BCR,3
237,ZWINT,6
238,MAGEA4,2
239,PTCH1,3
240,CCNB1,6
241,EXO1,7
242,LZTS2,4
243,MCM5,7
244,MYL9,0
245,CDCA8,6
246,MFAP2,0
247,CASP8,4
248,SERPINE1,0
